Layer,Name,GEOID,Population,Longitude,Latitude,SVI,ViolentCrime,Robbery,Pop_2019_2023,InfantMortality,CrowdedHousing,TreeCanopy,LowFoodAccess,GradRate,Unemployment,PerCapitaIncome,PovertyRate,TeenBirthRate,BirthRate,IndLivingDiff,city_side,city_side_numeric
Community area,North Park,13,17522,-87.723578,41.983651,71.6534187,137.396126,50.5295993,18678.7628,3.7735849,5.99961807,33.0,76.7781154,90.1534101,4.27107452,38200.331,16.4344588,3.6402024,23.331367,4.78750194,North,1
Community area,East Side,52,21787,-87.534907,41.707306,72.0517484,237.846932,53.7485667,22816.3914,3.8109756,6.18399277,15.8,23.5276448,75.1691191,7.8990559,26996.0289,16.5347003,18.439378,23.505805,3.4085884,South,0
Community area,New City,61,43510,-87.659171,41.809017,88.1852409,580.668047,220.132704,41661.5087,12.021858,6.46769627,15.6,21.3747749,70.5382929,12.6670581,22685.4294,26.8875045,24.505607,25.355274,4.60252063,South,0
Community area,West Garfield Park,26,17423,-87.730233,41.878602,87.8104144,440.502305,139.038984,15610.3014,15.232975,6.82436922,17.9,0.05012273,77.0828149,23.2529444,19395.2501,31.9751777,30.360314,24.079176,10.7649258,North,1
Community area,Hermosa,20,24127,-87.734741,41.924353,81.1496224,150.146585,57.418395,22840.7111,6.2068966,7.82064595,17.0,0.00156022,72.8422939,5.78076475,27889.1385,15.2785477,16.584453,23.72192,3.380034,North,1
Community area,West Ridge,2,77139,-87.695017,42.001583,82.193188,266.247177,95.3716575,78241.3899,3.4214028,8.02673677,26.0,9.32642203,84.1211802,7.38485511,33663.4717,17.6042057,8.7015454,27.416735,4.35656318,North,1
Community area,South Lawndale,30,71402,-87.714,41.839091,84.2253602,973.34726,315.071795,68751.1203,7.2222222,8.27575147,14.9,4.79340288,64.5118345,8.45828948,20938.0143,21.5023178,22.52816,21.602808,5.9205013,South,0
Community area,Brighton Park,58,45141,-87.698859,41.817364,80.422136,238.255952,86.0015211,42213.4249,4.6005855,8.28952835,12.0,17.5886857,70.4057619,9.17923141,24631.5704,19.3800186,15.552271,21.533886,3.49143564,South,0
Community area,West Lawn,65,33543,-87.726927,41.769774,79.9689295,324.447086,102.805346,32530.9057,4.0120361,8.53674839,10.7,33.4765733,74.2518348,7.87647542,26359.704,15.3181633,12.594102,23.723127,3.52340061,South,0
Community area,Belmont Cragin,19,78151,-87.765502,41.927275,80.0566014,423.962241,159.380516,72957.3275,5.663797,8.76248888,15.2,0.00970678,68.8995434,5.01292421,26262.2122,14.8618687,15.662347,22.320345,4.41153272,North,1
Community area,Riverdale,54,7229,-87.602849,41.660137,83.6310892,210.133261,48.1678976,7500.46919,9.2421442,8.86446977,24.7,99.8478605,86.0377664,29.6764376,14407.8969,55.0311515,28.449502,25.552496,3.39914955,South,0
Community area,Gage Park,63,39439,-87.696433,41.795429,89.7956587,242.250067,82.9009264,35639.0218,7.7186964,9.44226472,14.6,20.8708077,67.1905388,12.9550639,21573.3484,15.6294328,16.509735,23.849312,3.1093608,South,0
Community area,Archer Heights,57,14282,-87.726365,41.810873,71.4808735,172.264948,62.1827189,14098.4604,2.4038462,10.5653239,8.3,0.58461287,70.0675846,9.58183444,26769.008,8.94493098,13.768116,23.756292,3.96261181,South,0
